p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.5509134592882717e-262,1.0225118230623844,0.335,0.056,4.184519604505686e-258,12,Gpc5
1.6088302401201796e-261,0.5182912929102661,0.503,0.125,4.3407848708682565e-257,12,Anks1b
3.421320184671778e-259,0.7538052693737526,0.25,0.033,9.231063990262925e-255,12,Kcnmb4
3.421514794623941e-256,0.7044631026922046,0.198,0.021,9.231589067374855e-252,12,Fzd9
7.057255905735623e-255,0.5622849820816602,0.172,0.016,1.9041182159265285e-250,12,Neto1
2.3598223771573937e-253,0.5144024777230358,0.163,0.014,6.367036755808364e-249,12,Spry4
6.920027936874086e-250,1.7258049953449142,0.347,0.064,1.8670927376479972e-245,12,1700086L19Rik
4.8597318903110525e-248,1.558031192345999,0.581,0.169,1.311204261324825e-243,12,Arxes1
1.266547125745994e-247,4.035503324349685,0.724,0.279,3.4172707999752666e-243,12,Pgp
4.2210061119303935e-241,1.2509960868691907,0.359,0.07,1.1388696590599395e-236,12,Orai1
4.0979957573972737e-237,0.9768940077424606,0.363,0.072,1.1056802353033584e-232,12,Klhl5
7.489929080151187e-235,1.4042726368053713,0.519,0.142,2.020857765115592e-230,12,Ggh
1.3071582472356565e-234,0.595111759913981,0.231,0.031,3.5268436668665247e-230,12,Pcsk2
9.122583907488484e-233,0.8665268396784853,0.294,0.049,2.4613643640794677e-228,12,Itgb8
1.0684599427479068e-231,0.4894962846290282,0.224,0.029,2.8828117715281273e-227,12,Etv4
2.1828869210031866e-230,0.7361751062234885,0.256,0.038,5.889647201558698e-226,12,Npas3
1.1121493521924126e-226,0.6807494282558446,0.294,0.05,3.0006901671503484e-222,12,Slc35f1
3.0821559955967463e-223,1.6448483567428038,0.459,0.118,8.315965091719581e-219,12,Rnf180
3.3281270133824833e-223,0.39231380359408263,0.145,0.013,8.979619494807278e-219,12,Vwc2
3.442868690662072e-218,1.53704756865301,0.486,0.133,9.289204014275336e-214,12,Lrp1
4.214976024417672e-217,0.5108900921465226,0.163,0.017,1.137242681148132e-212,12,Adora1
1.8745192578013115e-216,0.8700335228642437,0.346,0.071,5.057640409473718e-212,12,Hip1
1.0461158682758982e-215,0.4679030017178603,0.194,0.023,2.822525224195201e-211,12,Kctd4
1.7581305504886315e-212,0.9548016255112092,0.314,0.06,4.743612038273376e-208,12,Cpq
9.765062197647015e-211,0.390625390534998,0.149,0.014,2.6347114315471414e-206,12,Amz1
1.164491504952215e-209,0.3384606921954399,0.131,0.011,3.141914529511571e-205,12,Gm9885
1.61564523642707e-207,3.589047772619015,0.899,0.616,4.359172412403878e-203,12,Rpl13
2.2592849506401478e-207,1.0105901723183461,0.456,0.12,6.095776725322183e-203,12,Rcn1
1.4669207108772182e-203,0.4593433730248274,0.149,0.015,3.9578987700178225e-199,12,Dcaf12l1
6.10678538689821e-202,1.2556128338967332,0.331,0.07,1.647671765239006e-197,12,Dpp6
6.898340522988333e-201,0.5663361364150189,0.177,0.021,1.861241256507482e-196,12,Vit
3.834643119995398e-200,1.3428247026739324,0.63,0.234,1.0346250602059584e-195,12,Cadm4
1.017360566450833e-198,0.7475203647992799,0.221,0.033,2.7449405443409923e-194,12,Pdzrn4
4.368924532948466e-198,0.5525986109493211,0.231,0.036,1.1787795282348258e-193,12,Phldb1
2.648938945226564e-196,0.3946623565563575,0.165,0.019,7.147102168115793e-192,12,Il1rap
4.322077536338444e-196,0.38056098414913614,0.216,0.032,1.1661397400794756e-191,12,Plekhb1
6.999828805072518e-196,0.6222657642379081,0.262,0.045,1.8886238098966163e-191,12,Slitrk5
1.304476879772026e-195,0.27412827220236496,0.205,0.029,3.519609069312903e-191,12,Pde7b
1.6437046674128279e-193,0.28538569114545176,0.123,0.011,4.434879563146551e-189,12,Asic4
5.313843465962533e-193,0.3082220111006566,0.119,0.01,1.433728105551351e-188,12,Sema3d
3.0435474237233064e-191,0.38478726467093116,0.166,0.019,8.211795303947853e-187,12,Chst11
1.8107407837036582e-184,0.30052559449604677,0.128,0.012,4.88555970851084e-180,12,Pter
2.576868197172643e-184,0.92811867646254,0.393,0.102,6.952648082791509e-180,12,Tmco3
